year week SMN SMT VCI TCI VHI
1981 35 0.245 289.43 5.39 89.59 47.49
1981 36 0.251 290.09 11.33 76.44 43.88
1981 37 0.255 290.35 21.33 59.09 40.21
1981 38 0.259 290.22 32.32 40.28 36.30
1981 39 0.261 289.44 42.58 25.49 34.04
1981 40 0.258 287.96 51.72 19.61 35.66
1981 41 0.248 285.56 59.17 23.08 41.12
1981 42 0.231 282.51 62.97 36.38 49.67
1981 43 0.205 279.30 60.99 46.27 53.63
1981 44 0.171 275.89 54.70 46.53 50.61
1981 45 0.140 272.61 46.99 47.46 47.23
1981 46 0.118 270.02 45.05 45.85 45.45
1981 47 0.103 267.56 47.47 45.21 46.34
1981 48 0.093 265.80 48.46 45.53 47.00
1981 49 0.084 264.25 46.39 45.93 46.16
1981 50 0.080 262.58 50.40 47.36 48.88
1981 51 0.077 261.38 52.39 45.97 49.18
1981 52 0.074 261.23 54.40 42.40 48.40
1982 01 0.077 262.50 61.42 34.11 47.76
1982 02 0.084 264.78 67.23 24.00 45.62
1982 03 0.086 265.88 67.65 20.41 44.03
1982 04 0.084 266.90 65.13 19.09 42.11
1982 05 0.078 266.89 55.58 25.02 40.30
1982 06 0.074 267.40 46.31 29.78 38.04
1982 07 0.072 268.56 39.36 30.87 35.11
1982 08 0.073 269.94 35.92 31.50 33.71
1982 09 0.075 271.37 33.32 32.62 32.97
1982 10 0.080 273.17 30.70 33.84 32.27
1982 11 0.092 275.25 31.51 32.31 31.91
1982 12 0.105 277.25 31.32 36.25 33.78
1982 13 0.115 278.87 27.75 42.18 34.96
1982 14 0.124 280.35 21.70 49.95 35.82
1982 15 0.136 281.65 14.57 63.44 39.01
1982 16 0.162 283.34 13.11 74.74 43.93
1982 17 0.196 285.43 15.05 81.38 48.22
1982 18 0.253 288.41 26.76 77.52 52.14
1982 19 0.306 290.87 36.29 69.82 53.06
1982 20 0.344 292.39 39.93 66.86 53.40
1982 21 0.370 292.89 40.35 69.42 54.88
1982 22 0.385 292.87 37.51 72.23 54.87
1982 23 0.391 292.79 32.86 74.89 53.87
1982 24 0.391 292.69 28.93 78.15 53.54
1982 25 0.390 292.63 26.52 82.49 54.51
1982 26 0.388 292.56 24.63 84.99 54.81
1982 27 0.391 292.92 27.50 83.86 55.68
1982 28 0.396 293.41 35.44 81.24 58.34
1982 29 0.401 293.84 43.99 79.66 61.82
1982 30 0.398 294.02 47.81 79.63 63.72
1982 31 0.395 294.33 48.91 76.11 62.51
1982 32 0.389 294.52 47.91 71.25 59.58
1982 33 0.385 294.49 49.40 65.27 57.34
